AssemblyAccession	AssemblyName	Organism	SpeciesTaxid	BioSampleAccn	ContigN50	Coverage	Strain	Pathovar	Owner	Link
GCF_023076315.1	ASM2307631v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612316	3672654	41	CIP224_UW466		Virginia Tech	775652
GCF_023076335.1	ASM2307633v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612312	3505422	41	CIP211_UW461		Virginia Tech	775652
GCF_023076355.1	ASM2307635v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612311	3574493	41	CIP172_UW458		Virginia Tech	775652
GCF_023076395.1	ASM2307639v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612314	3501577	40	CIP218_UW463		Virginia Tech	775652
GCF_023076415.1	ASM2307641v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612315	3352797	41	CIP221_UW464		Virginia Tech	775652
GCF_023076435.1	ASM2307643v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612306	87136	26	CIP258_UW448		Virginia Tech	775652
GCF_023076455.1	ASM2307645v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612308	228432	35	CIP61_UW451		Virginia Tech	775652
GCF_023076475.1	ASM2307647v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612309	165800	31	CIP77_UW452		Virginia Tech	775652
GCF_023076485.1	ASM2307648v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612307	91620	21	CIP259_UW449		Virginia Tech	775652
GCF_023076515.1	ASM2307651v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612305	87107	29	O1059_UW442		Virginia Tech	775652
GCF_023076535.1	ASM2307653v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612304	100262	29	01020AS_UW437		Virginia Tech	775652
GCF_023076545.1	ASM2307654v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612302	99349	22	O223A_UW420		Virginia Tech	775652
GCF_023076565.1	ASM2307656v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612303	96890	41	O249_UW425		Virginia Tech	775652
GCF_023076575.1	ASM2307657v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612301	101423	36	O15A_UW408		Virginia Tech	775652
GCF_023076655.1	ASM2307665v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612297	3426290	40	UW37		Virginia Tech	775652
GCF_023076695.1	ASM2307669v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612296	3418642	41	40-4SP_UW354		Virginia Tech	775652
GCF_023076735.1	ASM2307673v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612294	3505428	40	26-3SP_UW351		Virginia Tech	775652
GCF_023076755.1	ASM2307675v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612292	3584788	40	23-10BR_UW349		Virginia Tech	775652
GCF_023076775.1	ASM2307677v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612293	161296	23	25-2SP_UW350		Virginia Tech	775652
GCF_023076795.1	ASM2307679v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612291	3579429	40	19-3PR_UW348		Virginia Tech	775652
GCF_023076805.1	ASM2307680v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612290	2955591	41	17-4SC_UW347		Virginia Tech	775652
GCF_023076835.1	ASM2307683v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612289	3513923	41	15-3SC_UW346		Virginia Tech	775652
GCF_023076855.1	ASM2307685v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612288	3384718	41	14-2SC_UW345		Virginia Tech	775652
GCF_023076865.1	ASM2307686v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612287	2849634	41	10-1SC_UW344		Virginia Tech	775652
GCF_023076905.1	ASM2307690v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612285	95605	25	UW330		Virginia Tech	775652
GCF_023076945.1	ASM2307694v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612281	3392633	41	UW28		Virginia Tech	775652
GCF_023076975.1	ASM2307697v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612279	93767	21	CIP90_UW274		Virginia Tech	775652
GCF_023077005.1	ASM2307700v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612280	101425	24	UW276		Virginia Tech	775652
GCF_023077035.1	ASM2307703v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612278	3330289	41	UW273		Virginia Tech	775652
GCF_023077055.1	ASM2307705v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612277	173821	23	UW272		Virginia Tech	775652
GCF_023077075.1	ASM2307707v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612276	3542825	40	UW263		Virginia Tech	775652
GCF_023077095.1	ASM2307709v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612275	3402393	41	UW262		Virginia Tech	775652
GCF_023077115.1	ASM2307711v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612274	213306	26	UW261		Virginia Tech	775652
GCF_023077155.1	ASM2307715v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612271	93767	28	UW257		Virginia Tech	775652
GCF_023077175.1	ASM2307717v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612270	128915	24	UW256		Virginia Tech	775652
GCF_023077195.1	ASM2307719v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612268	69896	30	UW24		Virginia Tech	775652
GCF_023077215.1	ASM2307721v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612273	3086127	41	UW260		Virginia Tech	775652
GCF_023077235.1	ASM2307723v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612267	63743	27	UW23		Virginia Tech	775652
GCF_023077255.1	ASM2307725v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612265	93140	33	UW225		Virginia Tech	775652
GCF_023077275.1	ASM2307727v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612266	3314965	41	UW229		Virginia Tech	775652
GCF_023077295.1	ASM2307729v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612264	73062	26	UW224		Virginia Tech	775652
GCF_023077315.1	ASM2307731v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612262	101424	31	UW220e		Virginia Tech	775652
GCF_023077335.1	ASM2307733v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612261	87358	21	UW220c		Virginia Tech	775652
GCF_023077355.1	ASM2307735v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612260	73128	29	UW220b		Virginia Tech	775652
GCF_023077375.1	ASM2307737v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612258	80236	28	UW210		Virginia Tech	775652
GCF_023077415.1	ASM2307741v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612259	79331	26	UW220a		Virginia Tech	775652
GCF_023077435.1	ASM2307743v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612255	86932	22	UW187		Virginia Tech	775652
GCF_023077475.1	ASM2307747v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612254	124369	22	UW175		Virginia Tech	775652
GCF_023077495.1	ASM2307749v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612253	1961361	41	UW162		Virginia Tech	775652
GCF_023077515.1	ASM2307751v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612252	3191912	40	UW161		Virginia Tech	775652
GCF_023077535.1	ASM2307753v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612251	1968925	41	UW160		Virginia Tech	775652
GCF_023077555.1	ASM2307755v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612249	69751	22	UW153		Virginia Tech	775652
GCF_023077575.1	ASM2307757v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612250	3514334	40	UW156		Virginia Tech	775652
GCF_023077585.1	ASM2307758v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612248	126604	23	UW145		Virginia Tech	775652
GCF_023077615.1	ASM2307761v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612247	3821275	41	UW134		Virginia Tech	775652
GCF_023077635.1	ASM2307763v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN22612246	93055	27	UW120		Virginia Tech	775652
GCF_023646415.1	ASM2364641v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN27631883	244099	71	UW170		University of California, Davis	826884
GCF_023646435.1	ASM2364643v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN27631881	202595	71	P673		University of California, Davis	826884
GCF_023646455.1	ASM2364645v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN27631882	147303	71	UW128		University of California, Davis	826884
GCF_023646475.1	ASM2364647v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN27631880	202595	71	RUN0002		University of California, Davis	826884
GCF_023646495.1	ASM2364649v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN27631878	109946	71	P840		University of California, Davis	826884
GCF_023646515.1	ASM2364651v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN27631879	167031	71	RUN0003		University of California, Davis	826884
GCF_023646535.1	ASM2364653v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN27631877	117479	71	P780		University of California, Davis	826884
GCF_023646555.1	ASM2364655v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN27631876	105821	71	P575		University of California, Davis	826884
GCF_023646575.1	ASM2364657v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN27631875	109802	71	P565		University of California, Davis	826884
GCF_023646585.1	ASM2364658v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN27631874	102154	71	P557		University of California, Davis	826884
GCF_023646615.1	ASM2364661v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN27589866	54886	71	P488		University of California, Davis	826884
GCF_023700725.1	ASM2370072v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN27589867	97963	71	P545		University of California, Davis	826884
GCF_028177105.1	ASM2817710v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464310	238614	365.71	CCRMRs339		Universidade Federal Rural de Pernambuco	763940
GCF_028177115.1	ASM2817711v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464309	504573	269.156	CCRMRs121		Universidade Federal Rural de Pernambuco	763940
GCF_028177125.1	ASM2817712v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464307	185753	485.57	CCRMRs286		Universidade Federal Rural de Pernambuco	763940
GCF_028177135.1	ASM2817713v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464305	204912	403.233	CCRMRs294		Universidade Federal Rural de Pernambuco	763940
GCF_028177185.1	ASM2817718v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464303	574994	347.332	B4		Universidade Federal Rural de Pernambuco	763940
GCF_028177285.1	ASM2817728v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464302	296540	360.497	CCRMRs223		Universidade Federal Rural de Pernambuco	763940
GCF_028177305.1	ASM2817730v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464301	204913	367.323	CCRMRs283		Universidade Federal Rural de Pernambuco	763940
GCF_028177325.1	ASM2817732v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464300	37222	372.057	CCRMRs302		Universidade Federal Rural de Pernambuco	763940
GCF_028177365.1	ASM2817736v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464298	399454	314.148	B106		Universidade Federal Rural de Pernambuco	763940
GCF_028177375.1	ASM2817737v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464299	37222	295.73	CCRMRs314		Universidade Federal Rural de Pernambuco	763940
GCF_028177485.1	ASM2817748v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464297	45584	308.173	CCRMRs279		Universidade Federal Rural de Pernambuco	763940
GCF_028177505.1	ASM2817750v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464296	333179	325.383	B75		Universidade Federal Rural de Pernambuco	763940
GCF_028177545.1	ASM2817754v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464295	205138	286.84	CCRMRs317		Universidade Federal Rural de Pernambuco	763940
GCF_028177635.1	ASM2817763v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN21464294	105718	375.686	CCRMRs91		Universidade Federal Rural de Pernambuco	763940
GCF_028464595.1	ASM2846459v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078158	71434	93.4942	UW136		UC Davis	834840
GCF_028464615.1	ASM2846461v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078159	62337	197.57	UW140		UC Davis	834840
GCF_028464665.1	ASM2846466v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078149	144569	358.712	UW190		UC Davis	834840
GCF_028464675.1	ASM2846467v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078157	74733	90.7572	UW98		UC Davis	834840
GCF_028464745.1	ASM2846474v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078151	139800	130.015	UW192		UC Davis	834840
GCF_028464765.1	ASM2846476v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078147	170557	236.539	UW177		UC Davis	834840
GCF_028464775.1	ASM2846477v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078146	138675	350.629	UW176		UC Davis	834840
GCF_028464785.1	ASM2846478v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078145	183394	368.664	UW174		UC Davis	834840
GCF_028464815.1	ASM2846481v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078143	183394	387.636	UW171		UC Davis	834840
GCF_028464835.1	ASM2846483v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078144	186452	422.034	UW172		UC Davis	834840
GCF_028464865.1	ASM2846486v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078142	140298	337.91	UW158		UC Davis	834840
GCF_028464965.1	ASM2846496v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078141	144488	312.728	UW132		UC Davis	834840
GCF_028728185.1	ASM2872818v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078156	63146	104.94	UW75		UC Davis	834840
GCF_028728295.1	ASM2872829v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN28078150	101461	126.928	UW191		UC Davis	834840
GCF_029219985.1	ASM2921998v1	Ralstonia solanacearum MolK2 (b-proteobacteria)	305	SAMN32543034	3113499	140	MolK2		INRAE	917596
GCF_029220005.1	ASM2922000v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN32543033	3329396	276	BA7		INRAE	917596
GCF_029220025.1	ASM2922002v1	Ralstonia solanacearum CFBP2957 (b-proteobacteria)	305	SAMN32543032	3416152	163	CFBP2957		INRAE	917596
GCF_030412035.1	ASM3041203v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN35347198	108706	100	RALSA-MA		Universidad de Costa Rica	898399
GCF_036543205.1	ASM3654320v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN39822551	74120	32	UW853_UCD541		University of California, Davis	1073220
GCF_036553425.1	ASM3655342v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN39822550	125892	46	UCD576		University of California, Davis	1073220
GCF_036628335.1	ASM3662833v1	Ralstonia solanacearum species complex bacterium KE100 (b-proteobacteria)	3119581	SAMN39646429	131372	138.511	KE100		International Potato Center	1070535
GCF_036628355.1	ASM3662835v1	Ralstonia solanacearum species complex bacterium KE449 (b-proteobacteria)	3119582	SAMN39646428	117291	106.513	KE449		International Potato Center	1070535
GCF_036628375.1	ASM3662837v1	Ralstonia solanacearum species complex bacterium ZIM076 (b-proteobacteria)	3119584	SAMN39646426	131371	118.983	ZIM076		International Potato Center	1070535
GCF_036628415.1	ASM3662841v1	Ralstonia solanacearum species complex bacterium KE711 (b-proteobacteria)	3119583	SAMN39646427	131369	104.496	KE711		International Potato Center	1070535
GCF_036628455.1	ASM3662845v1	Ralstonia solanacearum species complex bacterium KE055 (b-proteobacteria)	3119586	SAMN39646424	131916	106.036	KE055		International Potato Center	1070535
GCF_037652855.1	ASM3765285v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518018	105357	400	PD 8567		NIVIP	1089092
GCF_037652875.1	ASM3765287v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518019	101397	400	PD 7579		NIVIP	1089092
GCF_037652935.1	ASM3765293v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518023	108905	400	PD 8566		NIVIP	1089092
GCF_037653005.1	ASM3765300v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518013	101397	400	PD 8568		NIVIP	1089092
GCF_037653055.1	ASM3765305v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518000	101398	400	PD 7642		NIVIP	1089092
GCF_037653075.1	ASM3765307v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518021	101396	400	PD 7397		NIVIP	1089092
GCF_037653095.1	ASM3765309v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518022	105357	400	PD 7414		NIVIP	1089092
GCF_037653155.1	ASM3765315v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518020	101396	400	PD 7394		NIVIP	1089092
GCF_037653195.1	ASM3765319v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518012	106098	400	PD 8570		NIVIP	1089092
GCF_037653205.1	ASM3765320v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518024	108905	400	PD 7421		NIVIP	1089092
GCF_037653275.1	ASM3765327v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518017	101397	400	PD 7578		NIVIP	1089092
GCF_037653325.1	ASM3765332v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518007	101396	400	PD 7645		NIVIP	1089092
GCF_037653355.1	ASM3765335v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518008	105367	400	PD 7647		NIVIP	1089092
GCF_037653395.1	ASM3765339v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518006	101397	400	PD 7672		NIVIP	1089092
GCF_037653435.1	ASM3765343v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518016	101397	400	PD 7711		NIVIP	1089092
GCF_037653495.1	ASM3765349v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518014	105357	400	PD 8569		NIVIP	1089092
GCF_037653535.1	ASM3765353v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518010	105357	400	PD 7576		NIVIP	1089092
GCF_037653575.1	ASM3765357v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518015	101396	400	PD 8571		NIVIP	1089092
GCF_037653615.1	ASM3765361v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518011	105357	400	PD 7677		NIVIP	1089092
GCF_037653695.1	ASM3765369v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518009	110240	400	PD 7648		NIVIP	1089092
GCF_037653715.1	ASM3765371v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518003	101397	400	PD 7389		NIVIP	1089092
GCF_037653735.1	ASM3765373v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518002	100234	400	PD 7644		NIVIP	1089092
GCF_037653775.1	ASM3765377v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518004	105357	400	PD 7670		NIVIP	1089092
GCF_037653835.1	ASM3765383v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518005	105357	400	PD 7671		NIVIP	1089092
GCF_037892735.1	ASM3789273v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN40518001	100234	400	PD 7643		NIVIP	1089092
GCF_039692545.1	ASM3969254v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN41264335	3503477	63	077-080_1		Universidad San Francisco de Quito	1109353
GCF_039693335.1	ASM3969333v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN41264334	3503462	60	068_2		Universidad San Francisco de Quito	1109353
GCF_041023715.1	ASM4102371v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN42716486	147104	20	RsP01		Agrosavia	1138408
GCF_041027265.1	ASM4102726v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN42899248	227702	220	B75		University of Queensland	
GCF_041027275.1	ASM4102727v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN42899247	246227	280	B74		University of Queensland	
GCF_041276365.1	ASM4127636v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN34223255	81950	101	AN-0720		Universidad Politecnica del Estado de Morelos	956562
GCF_041714685.1	ASM4171468v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN43303035	3500755	80	115-4		Universidad San Francisco de Quito	1109353
GCF_041714695.1	ASM4171469v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN43303036	3500665	40	144-1		Universidad San Francisco de Quito	1109353
GCF_041714705.1	ASM4171470v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN43303032	3500695	40	071-2		Universidad San Francisco de Quito	1109353
GCF_041714715.1	ASM4171471v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN43303034	3500655	60	102-3		Universidad San Francisco de Quito	1109353
GCF_041714725.1	ASM4171472v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN43303033	3500663	40	095-3		Universidad San Francisco de Quito	1109353
GCF_042432065.1	ASM4243206v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN43281666	84272	100	ICMP 5712		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_042434295.1	ASM4243429v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN43281545	115120	100	NCAIM B.01459		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_042647065.1	ASM4264706v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN43282212	3676428	189.76	NCAIM B.01459		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_042648205.1	ASM4264820v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN43282129	598014	98.83	ICMP 5712		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCA_042684045.1	ASM4268404v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN43282463	3725565	124.79	ICMP 5712		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_042685665.1	ASM4268566v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN43282365	3731851	258.29	ICMP 5712		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_049803935.1	NCSU_Rs32	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47621265	3650165	35	NCSU_Rs32		North Carolina State University	1243438
GCF_049803945.1	NCSU_Rs45488	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47621266	3626212	200	NCSU_Rs45488		North Carolina State University	1243438
GCF_049803955.1	NCSU_RsMR-FL01	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47621267	3611447	150	NCSU_RsMR-FL01		North Carolina State University	1243438
GCF_050470505.1	ASM5047050v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN41397082	3602675	45.42	Rs5		United States Department of Agriculture, Agricultural Research Service	1109761
GCF_050633925.1	ASM5063392v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN48085507	3690681	91	UW594_UCD726		University of California, Davis	1253762
GCF_050633945.1	ASM5063394v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN48085506	3358954	82	UW590_UCD732		University of California, Davis	1253762
GCF_050916425.1	AHR56_1.0	Ralstonia solanacearum (b-proteobacteria)	305	SAMN38450761	3661477	161	AHR56		North Carolina State University	1045647
GCF_051068535.1	ASM5106853v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852667	110599	113	LMG 25611		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068555.1	ASM5106855v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852671	110600	117	GBBC 643		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068575.1	ASM5106857v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852670	110310	117	GBBC 549		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068595.1	ASM5106859v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852669	110598	120	GBBC 521		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068615.1	ASM5106861v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852668	110599	506	GBBC 506		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068635.1	ASM5106863v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852666	110598	117	GBBC 3611		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068655.1	ASM5106865v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852665	110599	117	GBBC 3610		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068675.1	ASM5106867v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852663	110599	117	GBBC 3608		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068695.1	ASM5106869v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852664	110598	117	GBBC 3609		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068715.1	ASM5106871v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852662	110600	117	GBBC 3607		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068735.1	ASM5106873v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852659	110310	120	GBBC 3604		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068755.1	ASM5106875v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852660	102409	120	GBBC 3605		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068775.1	ASM5106877v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852661	110600	116	GBBC 3606		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068795.1	ASM5106879v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852658	102411	119	GBBC 3603		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068815.1	ASM5106881v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852657	101464	118	GBBC 3601		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068835.1	ASM5106883v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852656	110307	116	GBBC 3599		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068855.1	ASM5106885v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852654	110600	122	GBBC 3597		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068875.1	ASM5106887v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852655	110599	116	GBBC 3598		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068895.1	ASM5106889v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852653	110600	121	GBBC 3596		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068915.1	ASM5106891v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852652	110599	118	GBBC 3595		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
GCF_051068935.1	ASM5106893v1	Ralstonia solanacearum (b-proteobacteria)	305	SAMN47852651	120353	117	GBBC 3594		Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)	1217603
