Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Biovar	Race	Phylotype	Comment	Bio Project ID	Project	Sample	Secondary Sample	Date Entered	Release Date	Barcode	Status	Coverage	Version	N50	Length	Predicted Species	Contig Number	No. N's	Barcode
RAL_AA0162AA	MAFF 211491	DRR420893;OXFORD_NANOPORE;Single;;DRX406112;SRA,DRR420887;ILLUMINA;Paired;350;DRX406106;SRA																KOCHI	Ralstonia solanacearum					PRJDB10588	DRP009267	SAMD00250059	DRS265898	2024-11-08	2022-11-25	RAL_AA0162AA	Assembled	55.4	5.2	107981	5590508	Ralstonia solanacearum;99.82%	173	872	RAL_AA0236AA_AS
RAL_AA0163AA	MAFF 211479	DRR420892;OXFORD_NANOPORE;Single;;DRX406111;SRA,DRR420886;ILLUMINA;Paired;350;DRX406105;SRA																KOCHI	Ralstonia solanacearum					PRJDB10588	DRP009267	SAMD00250058	DRS265897	2024-11-08	2022-11-25	RAL_AA0163AA	Assembled	43.1	5.2	114750	5752713	Ralstonia solanacearum;98.06%	211	1770	RAL_AA0337AA_AS
RAL_AA0164AA	MAFF 211471	DRR420885;ILLUMINA;Paired;350;DRX406104;SRA,DRR420891;OXFORD_NANOPORE;Single;;DRX406110;SRA																KOCHI	Ralstonia solanacearum					PRJDB10588	DRP009267	SAMD00250057	DRS265896	2024-11-08	2022-11-25	RAL_AA0164AA	Assembled	63.5	5.2	77783	5799752	Ralstonia solanacearum;100.0%	328	1910	RAL_AA0154AA_AS
RAL_AA0165AA	Race 3, Biovar 1	SRR21541277;ILLUMINA;Paired;;SRX17543664;SRA	Environment	Water/River	Water	1997				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822018	SRS15090893	2024-11-08	2022-09-23	RAL_AA0165AA	Assembled	94.2	5.2	101836	5257226	Ralstonia solanacearum;100.0%	143	698	RAL_AA0155AA_AS
RAL_AA0166AA	Race 3, Biovar 1	SRR21541278;ILLUMINA;Paired;;SRX17543663;SRA	Environment	Water/River	Water	1997				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822017	SRS15090892	2024-11-08	2022-09-23	RAL_AA0166AA	Assembled	95.6	5.2	101495	5255417	Ralstonia solanacearum;100.0%	141	988	RAL_AA0156AA_AS
RAL_AA0167AA	Race 3, Biovar 1	SRR21541279;ILLUMINA;Paired;;SRX17543662;SRA	Environment	Water/River	Water	1997				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822016	SRS15090891	2024-11-08	2022-09-23	RAL_AA0167AA	Assembled	100.4	5.2	110340	5255632	Ralstonia solanacearum;100.0%	137	636	RAL_AA0687AA_AS
RAL_AA0170AA	Race 3, Biovar 1	SRR21541282;ILLUMINA;Paired;;SRX17543659;SRA	Environment	Water/River	Water	1997				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822013	SRS15090888	2024-11-08	2022-09-23	RAL_AA0170AA	Assembled	59.4	5.2	93221	5262571	Ralstonia solanacearum;99.8%	142	1679	RAL_AA0160AA_AS
RAL_AA0171AA	Race 3, Biovar 1	SRR21541283;ILLUMINA;Paired;;SRX17543658;SRA	Environment	Water/River	Water	1997				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822012	SRS15090887	2024-11-08	2022-09-23	RAL_AA0171AA	Assembled	47.9	5.2	73079	5254915	Ralstonia solanacearum;100.0%	152	3141	RAL_AA0689AA_AS
RAL_AA0172AA	Race 3, Biovar 1	SRR21541284;ILLUMINA;Paired;;SRX17543657;SRA	Environment	Water/River	Water	1997				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822011	SRS15090886	2024-11-08	2022-09-23	RAL_AA0172AA	Assembled	66.5	5.2	101816	5193938	Ralstonia solanacearum;100.0%	128	1037	RAL_AA0690AA_AS
RAL_AA0173AA	Race 3, Biovar 1	SRR21541285;ILLUMINA;Paired;;SRX17543656;SRA	Environment	Water/River	Water	1997				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822010	SRS15090884	2024-11-08	2022-09-23	RAL_AA0173AA	Assembled	55.4	5.2	101497	5255631	Ralstonia solanacearum;100.0%	144	1432	RAL_AA0163AA_AS
RAL_AA0174AA	Race 3, Biovar 1	SRR21541286;ILLUMINA;Paired;;SRX17543655;SRA	Environment	Water/River	Water	1996				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822009	SRS15090885	2024-11-08	2022-09-23	RAL_AA0174AA	Assembled	78.5	5.2	100334	5124573	Ralstonia solanacearum;100.0%	136	1561	RAL_AA0164AA_AS
RAL_AA0176AA	Race 3, Biovar 1	SRR21541288;ILLUMINA;Paired;;SRX17543653;SRA	Environment	Plant	Potato	1996				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822008	SRS15090881	2024-11-08	2022-09-23	RAL_AA0176AA	Assembled	83	5.2	100334	5253569	Ralstonia solanacearum;100.0%	137	1334	RAL_AA0165AA_AS
RAL_AA0177AA	Race 3, Biovar 1	SRR21541289;ILLUMINA;Paired;;SRX17543652;SRA	Environment	Plant	Solanum dulcamara	1996				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822007	SRS15090882	2024-11-08	2022-09-23	RAL_AA0177AA	Assembled	78.1	5.2	101879	5254875	Ralstonia solanacearum;100.0%	136	891	RAL_AA0166AA_AS
RAL_AA0179AA	Race 3, Biovar 1	SRR21541291;ILLUMINA;Paired;;SRX17543650;SRA	Environment	Plant	Solanum dulcamara	1996				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822005	SRS15090879	2024-11-08	2022-09-23	RAL_AA0179AA	Assembled	90.7	5.2	101855	5254838	Ralstonia solanacearum;100.0%	135	530	RAL_AA0343AA_AS
RAL_AA0180AA	Race 3, Biovar 1	SRR21541292;ILLUMINA;Paired;;SRX17543649;SRA	Environment	Plant	Solanum dulcamara	1996				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822004	SRS15090878	2024-11-08	2022-09-23	RAL_AA0180AA	Assembled	87.3	5.2	101497	5255431	Ralstonia solanacearum;100.0%	142	970	RAL_AA0169AA_AS
RAL_AA0182AA	Race 3, Biovar 1	SRR21541294;ILLUMINA;Paired;;SRX17543647;SRA	Environment	Plant	Solanum dulcamara	1996				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822002	SRS15090876	2024-11-08	2022-09-23	RAL_AA0182AA	Assembled	96.9	5.2	101836	5266128	Ralstonia solanacearum;99.43%	138	1338	RAL_AA0171AA_AS
RAL_AA0183AA	Race 3, Biovar 1	SRR21541295;ILLUMINA;Paired;;SRX17543646;SRA	Environment	Water/River	Water	2008				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822089	SRS15090875	2024-11-08	2022-09-23	RAL_AA0183AA	Assembled	50.9	5.2	101492	5255772	Ralstonia solanacearum;100.0%	142	1565	RAL_AA0172AA_AS
RAL_AA0184AA	Race 3, Biovar 1	SRR21541296;ILLUMINA;Paired;;SRX17543645;SRA	Environment	Plant	Solanum dulcamara	2008				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822088	SRS15090874	2024-11-08	2022-09-23	RAL_AA0184AA	Assembled	59	5.2	93222	5255872	Ralstonia solanacearum;100.0%	149	1950	RAL_AA0691AA_AS
RAL_AA0185AA	Race 3, Biovar 1	SRR21541297;ILLUMINA;Paired;;SRX17543644;SRA	Environment	Plant	Solanum dulcamara	2008				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822087	SRS15090873	2024-11-08	2022-09-23	RAL_AA0185AA	Assembled	54.1	5.2	100334	5255099	Ralstonia solanacearum;100.0%	149	1977	RAL_AA0174AA_AS
RAL_AA0186AA	Race 3, Biovar 1	SRR21541298;ILLUMINA;Paired;;SRX17543643;SRA	Environment	Plant	Solanum dulcamara	2008				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822086	SRS15090872	2024-11-08	2022-09-23	RAL_AA0186AA	Assembled	54.3	5.2	100334	5255402	Ralstonia solanacearum;100.0%	142	1857	RAL_AA0345AA_AS
RAL_AA0187AA	Race 3, Biovar 1	SRR21541299;ILLUMINA;Paired;;SRX17543642;SRA	Environment	Water/River	Water	2008				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822085	SRS15090871	2024-11-08	2022-09-23	RAL_AA0187AA	Assembled	59.1	5.2	101494	5255515	Ralstonia solanacearum;100.0%	141	1096	RAL_AA0176AA_AS
RAL_AA0188AA	Race 3, Biovar 1	SRR21541300;ILLUMINA;Paired;;SRX17543641;SRA	Environment	Water/River	Water	2007				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822083	SRS15090870	2024-11-08	2022-09-23	RAL_AA0188AA	Assembled	52.6	5.2	110340	5245979	Ralstonia solanacearum;100.0%	138	2055	RAL_AA0177AA_AS
RAL_AA0189AA	R578	SRR21541301;OXFORD_NANOPORE;Single;;SRX17543640;SRA,SRR18649490;ILLUMINA;Paired;;SRX14752649;SRA	Environment	Plant	Eggplant	1987				South America	Peru							University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN27356606	SRS12514049	2024-11-08	2022-09-23	RAL_AA0189AA	Assembled	61	5.2	229355	5608400	Ralstonia solanacearum;100.0%	58	2296	RAL_AA0346AA_AS
RAL_AA0190AA	Race 3, Biovar 1	SRR21541302;ILLUMINA;Paired;;SRX17543639;SRA	Environment	Water/River	Water	2007				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822082	SRS15090869	2024-11-08	2022-09-23	RAL_AA0190AA	Assembled	50.6	5.2	100334	5254777	Ralstonia solanacearum;100.0%	142	1673	RAL_AA0179AA_AS
RAL_AA0191AA	Race 3, Biovar 1	SRR21541303;ILLUMINA;Paired;;SRX17543638;SRA	Environment	Water/River	Water	2007				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822081	SRS15090868	2024-11-08	2022-09-23	RAL_AA0191AA	Assembled	45.5	5.2	100334	5254980	Ralstonia solanacearum;100.0%	140	2155	RAL_AA0347AA_AS
RAL_AA0192AA	Race 3, Biovar 1	SRR21541304;ILLUMINA;Paired;;SRX17543637;SRA	Environment	Water/River	Water	2007				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822080	SRS15090867	2024-11-08	2022-09-23	RAL_AA0192AA	Assembled	56.1	5.2	93222	5327231	Ralstonia solanacearum;98.45%	151	5970	RAL_AA0181AA_AS
RAL_AA0193AA	Race 3, Biovar 1	SRR21541305;ILLUMINA;Paired;;SRX17543636;SRA	Environment	Water/River	Water	2007				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822079	SRS15090866	2024-11-08	2022-09-23	RAL_AA0193AA	Assembled	48.1	5.2	101814	5253697	Ralstonia solanacearum;100.0%	136	1545	RAL_AA0692AA_AS
RAL_AA0194AA	Race 3, Biovar 1	SRR21541306;ILLUMINA;Paired;;SRX17543635;SRA	Environment	Water/River	Water	2007				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822078	SRS15090864	2024-11-08	2022-09-23	RAL_AA0194AA	Assembled	60	5.2	96972	5246472	Ralstonia solanacearum;100.0%	142	1920	RAL_AA0693AA_AS
RAL_AA0195AA	Race 3, Biovar 1	SRR21541307;ILLUMINA;Paired;;SRX17543634;SRA	Environment	Water/River	Water	2007				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822077	SRS15090865	2024-11-08	2022-09-23	RAL_AA0195AA	Assembled	46.1	5.2	100334	5247620	Ralstonia solanacearum;100.0%	138	2816	RAL_AA0184AA_AS
RAL_AA0196AA	Race 3, Biovar 1	SRR21541308;ILLUMINA;Paired;;SRX17543633;SRA	Environment	Water/River	Water	2007				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822076	SRS15090863	2024-11-08	2022-09-23	RAL_AA0196AA	Assembled	63.3	5.2	97307	5246576	Ralstonia solanacearum;100.0%	141	1431	RAL_AA0185AA_AS
RAL_AA0197AA	Race 3, Biovar 1	SRR21541309;ILLUMINA;Paired;;SRX17543632;SRA	Environment	Water/River	Water	2006				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822075	SRS15090862	2024-11-08	2022-09-23	RAL_AA0197AA	Assembled	62.8	5.2	101938	5256103	Ralstonia solanacearum;100.0%	136	1059	RAL_AA0694AA_AS
RAL_AA0198AA	Race 3, Biovar 1	SRR21541310;ILLUMINA;Paired;;SRX17543631;SRA	Environment	Water/River	Water	2006				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822074	SRS15090861	2024-11-08	2022-09-23	RAL_AA0198AA	Assembled	63.7	5.2	99672	5256613	Ralstonia solanacearum;100.0%	145	1756	RAL_AA0695AA_AS
RAL_AA0199AA	Race 3, Biovar 1	SRR21541311;ILLUMINA;Paired;;SRX17543630;SRA	Environment	Water/River	Water	2006				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822073	SRS15090860	2024-11-08	2022-09-23	RAL_AA0199AA	Assembled	48.6	5.2	101497	5254667	Ralstonia solanacearum;100.0%	136	2011	RAL_AA0188AA_AS
RAL_AA0200AA	YO143	SRR21541312;OXFORD_NANOPORE;Single;;SRX17543629;SRA,SRR18649500;ILLUMINA;Paired;;SRX14752639;SRA	Environment	Plant	Potato	1982				Europe	Netherlands	North Holland		Amsterdam		52.3676444	4.8944657	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN27356597	SRS12514037	2024-11-08	2022-09-23	RAL_AA0200AA	Assembled	50.1	5.2	101967	5252834	Ralstonia solanacearum;100.0%	132	1703	RAL_AA0696AA_AS
RAL_AA0201AA	Race 3, Biovar 1	SRR21541313;ILLUMINA;Paired;;SRX17543628;SRA	Environment	Water/River	Water	2006				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822072	SRS15090859	2024-11-08	2022-09-23	RAL_AA0201AA	Assembled	64.1	5.2	100334	5255815	Ralstonia solanacearum;100.0%	142	1636	RAL_AA0697AA_AS
RAL_AA0202AA	Race 3, Biovar 1	SRR21541314;ILLUMINA;Paired;;SRX17543627;SRA	Environment	Water/River	Water	2006				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822071	SRS15090858	2024-11-08	2022-09-23	RAL_AA0202AA	Assembled	54.8	5.2	110340	5254369	Ralstonia solanacearum;100.0%	133	1401	RAL_AA0190AA_AS
RAL_AA0203AA	Race 3, Biovar 1	SRR21541315;ILLUMINA;Paired;;SRX17543626;SRA	Environment	Water/River	Water	2006				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822070	SRS15090857	2024-11-08	2022-09-23	RAL_AA0203AA	Assembled	49.5	5.2	101497	5254171	Ralstonia solanacearum;100.0%	142	2641	RAL_AA0354AA_AS
RAL_AA0204AA	Race 3, Biovar 1	SRR21541316;ILLUMINA;Paired;;SRX17543625;SRA	Environment	Water/River	Water	2006				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822069	SRS15090856	2024-11-08	2022-09-23	RAL_AA0204AA	Assembled	58.6	5.2	93212	5254114	Ralstonia solanacearum;100.0%	146	2312	RAL_AA0698AA_AS
RAL_AA0205AA	Race 3, Biovar 1	SRR21541317;ILLUMINA;Paired;;SRX17543624;SRA	Environment	Water/River	Water	2006				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822068	SRS15090854	2024-11-08	2022-09-23	RAL_AA0205AA	Assembled	59	5.2	83702	5254552	Ralstonia solanacearum;100.0%	155	3070	RAL_AA0356AA_AS
RAL_AA0206AA	Race 3, Biovar 1	SRR21541318;ILLUMINA;Paired;;SRX17543623;SRA	Environment	Water/River	Water	2006				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822067	SRS15090855	2024-11-08	2022-09-23	RAL_AA0206AA	Assembled	62.1	5.2	101495	5255287	Ralstonia solanacearum;100.0%	139	1244	RAL_AA0194AA_AS
RAL_AA0207AA	Race 3, Biovar 1	SRR21541319;ILLUMINA;Paired;;SRX17543622;SRA	Environment	Plant	Solanum dulcamara	1996				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30822001	SRS15090853	2024-11-08	2022-09-23	RAL_AA0207AA	Assembled	84.6	5.2	100334	5254403	Ralstonia solanacearum;100.0%	139	839	RAL_AA0195AA_AS
RAL_AA0208AA	Race 3, Biovar 1	SRR21541320;ILLUMINA;Paired;;SRX17543621;SRA	Environment	Water/River	Water	1995				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821999	SRS15090852	2024-11-08	2022-09-23	RAL_AA0208AA	Assembled	73.6	5.2	100334	5389121	Ralstonia solanacearum;96.79%	159	4810	RAL_AA0357AA_AS
RAL_AA0209AA	Race 3, Biovar 1	SRR21541321;ILLUMINA;Paired;;SRX17543620;SRA	Environment	Plant	Solanum dulcamara	1995				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821998	SRS15090851	2024-11-08	2022-09-23	RAL_AA0209AA	Assembled	59.9	5.2	101494	5254847	Ralstonia solanacearum;100.0%	139	1539	RAL_AA0699AA_AS
RAL_AA0210AA	YO097	SRR18649450;ILLUMINA;Paired;;SRX14752689;SRA,SRR21541322;OXFORD_NANOPORE;Single;;SRX17543619;SRA	Environment	Plant	Potato	1962				Asia	India	Ladakh	Leh	Leh		34.1707445	77.5775835	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN27356554	SRS12514086	2024-11-08	2022-09-23	RAL_AA0210AA	Assembled	75.5	5.2	110631	5272170	Ralstonia solanacearum;100.0%	138	996	RAL_AA0700AA_AS
RAL_AA0211AA	Race 3, Biovar 1	SRR21541323;ILLUMINA;Paired;;SRX17543618;SRA	Environment	Water/River	Water	1995				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821997	SRS15090850	2024-11-08	2022-09-23	RAL_AA0211AA	Assembled	86.8	5.2	101497	5255089	Ralstonia solanacearum;100.0%	139	781	RAL_AA0199AA_AS
RAL_AA0212AA	Race 3, Biovar 1	SRR21541324;ILLUMINA;Paired;;SRX17543617;SRA	Environment	Water/River	Water	1995				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821996	SRS15090849	2024-11-08	2022-09-23	RAL_AA0212AA	Assembled	90.4	5.2	101836	5255558	Ralstonia solanacearum;100.0%	139	1102	RAL_AA0360AA_AS
RAL_AA0213AA	Race 3, Biovar 1	SRR21541325;ILLUMINA;Paired;;SRX17543616;SRA	Environment	Water/River	Water	1995				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821995	SRS15090848	2024-11-08	2022-09-23	RAL_AA0213AA	Assembled	72.6	5.2	101497	5458275	Ralstonia solanacearum;96.98%	145	5351	RAL_AA0201AA_AS
RAL_AA0214AA	Race 3, Biovar 1	SRR21541326;ILLUMINA;Paired;;SRX17543615;SRA	Environment	Water/River	Water	1995				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821994	SRS15090847	2024-11-08	2022-09-23	RAL_AA0214AA	Assembled	88	5.2	110342	5253264	Ralstonia solanacearum;99.62%	135	393	RAL_AA0361AA_AS
RAL_AA0216AA	Race 3, Biovar 1	SRR21541328;ILLUMINA;Paired;;SRX17543613;SRA	Environment	Water/River	Water	1995				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821992	SRS15090845	2024-11-08	2022-09-23	RAL_AA0216AA	Assembled	90.7	5.2	101337	5255829	Ralstonia solanacearum;100.0%	141	1207	RAL_AA0362AA_AS
RAL_AA0217AA	Race 3, Biovar 1	SRR21541329;ILLUMINA;Paired;;SRX17543612;SRA	Environment	Water/River	Water	1995				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821991	SRS15090844	2024-11-08	2022-09-23	RAL_AA0217AA	Assembled	80.1	5.2	100334	5255288	Ralstonia solanacearum;100.0%	144	1055	RAL_AA0205AA_AS
RAL_AA0218AA	Race 3, Biovar 1	SRR21541330;ILLUMINA;Paired;;SRX17543611;SRA	Environment	Water/River	Water	1995				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821990	SRS15090843	2024-11-08	2022-09-23	RAL_AA0218AA	Assembled	84.3	5.2	101836	5255107	Ralstonia solanacearum;100.0%	141	844	RAL_AA0701AA_AS
RAL_AA0219AA	Race 3, Biovar 1	SRR21541331;ILLUMINA;Paired;;SRX17543610;SRA	Environment	Plant	Solanum dulcamara	1994				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821989	SRS15090842	2024-11-08	2022-09-23	RAL_AA0219AA	Assembled	90.8	5.2	110339	5255242	Ralstonia solanacearum;100.0%	135	582	RAL_AA0207AA_AS
RAL_AA0220AA	Race 3, Biovar 1	SRR21541332;ILLUMINA;Paired;;SRX17543609;SRA	Environment	Plant	Solanum dulcamara	1994				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821988	SRS15090841	2024-11-08	2022-09-23	RAL_AA0220AA	Assembled	97.5	5.2	101497	5255221	Ralstonia solanacearum;100.0%	136	631	RAL_AA0702AA_AS
RAL_AA0222AA	Race 3, Biovar 1	SRR21541334;ILLUMINA;Paired;;SRX17543607;SRA	Environment	Plant	Solanum dulcamara	1994				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821987	SRS15090839	2024-11-08	2022-09-23	RAL_AA0222AA	Assembled	72.6	5.2	101495	5254762	Ralstonia solanacearum;100.0%	141	1290	RAL_AA0209AA_AS
RAL_AA0223AA	Race 3, Biovar 1	SRR21541335;ILLUMINA;Paired;;SRX17543606;SRA	Environment	Plant	Solanum dulcamara	1994				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821986	SRS15090838	2024-11-08	2022-09-23	RAL_AA0223AA	Assembled	96.1	5.2	110340	5255233	Ralstonia solanacearum;100.0%	136	707	RAL_AA0210AA_AS
RAL_AA0224AA	Race 3, Biovar 1	SRR21541336;ILLUMINA;Paired;;SRX17543605;SRA	Environment	Plant	Solanum dulcamara	1994				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821985	SRS15090837	2024-11-08	2022-09-23	RAL_AA0224AA	Assembled	93.3	5.2	101836	5255913	Ralstonia solanacearum;100.0%	140	363	RAL_AA0703AA_AS
RAL_AA0225AA	Race 3, Biovar 1	SRR21541337;ILLUMINA;Paired;;SRX17543604;SRA	Environment	Plant	Solanum dulcamara	1994				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821984	SRS15090836	2024-11-08	2022-09-23	RAL_AA0225AA	Assembled	90	5.2	101494	5256337	Ralstonia solanacearum;100.0%	144	1097	RAL_AA0212AA_AS
RAL_AA0226AA	Race 3, Biovar 1	SRR21541338;ILLUMINA;Paired;;SRX17543603;SRA	Environment	Plant	Solanum dulcamara	1994				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821983	SRS15090835	2024-11-08	2022-09-23	RAL_AA0226AA	Assembled	74.6	5.2	101492	5256186	Ralstonia solanacearum;100.0%	143	1091	RAL_AA0213AA_AS
RAL_AA0227AA	Race 3, Biovar 1	SRR21541339;ILLUMINA;Paired;;SRX17543602;SRA	Environment	Plant	Solanum dulcamara	1994				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821982	SRS15090834	2024-11-08	2022-09-23	RAL_AA0227AA	Assembled	83.1	5.2	100334	5256974	Ralstonia solanacearum;100.0%	147	890	RAL_AA0704AA_AS
RAL_AA0228AA	Race 3, Biovar 1	SRR21541340;ILLUMINA;Paired;;SRX17543601;SRA	Environment	Plant	Solanum dulcamara	1994				Europe	United Kingdom	England		Birmingham		52.4897433	-1.8540988	University of York	Ralstonia solanacearum					PRJNA823737	SRP367713	SAMN30821981	SRS15090833	2024-11-08	2022-09-23	RAL_AA0228AA	Assembled	99.5	5.2	101494	5229686	Ralstonia solanacearum;100.0%	137	806	RAL_AA0705AA_AS
